,shows_id,tvrage,thetvdb,imdb
0,0,,361541.0,
1,1,,392682.0,
2,2,,,
3,3,,,
4,4,,379070.0,
5,5,,419045.0,
6,6,,,
7,7,,391554.0,
8,8,,364730.0,
9,9,,392455.0,tt15127174
10,10,,,
11,11,,392649.0,tt11492320
12,12,,394618.0,tt13570512
13,13,,,
14,14,,,
15,15,,,
16,16,,384234.0,tt11450050
17,17,,391062.0,tt13667230
18,18,,394045.0,
19,19,,,
20,20,,284046.0,tt4907178
21,21,,274399.0,tt2610260
22,22,,278793.0,tt1714810
23,23,,287953.0,
24,24,,265193.0,
25,25,,334619.0,tt7311010
26,26,,,
27,27,,290686.0,tt4087032
28,28,,347640.0,tt2198870
29,29,,,
30,30,,370305.0,tt11398800
31,31,,,
32,32,,321364.0,tt6618922
33,33,,,tt12239824
34,34,,370561.0,tt11092482
35,35,,368116.0,tt11229748
36,36,,388518.0,
37,37,,389761.0,tt13017934
38,38,,379272.0,tt12172364
39,39,,,tt11384218
40,40,,,
41,41,,392214.0,
42,42,,391408.0,
43,43,,,
44,44,,392362.0,tt13539710
45,45,,,tt12660902
46,46,,,
47,47,,,
48,48,,408760.0,tt13439972
49,49,,,tt13254818
50,50,,,
51,51,,,
52,52,,374464.0,tt12485636
53,53,,320351.0,tt6581428
54,54,,395798.0,
55,55,,,tt13939572
56,56,,350139.0,tt10962586
57,57,,369798.0,tt12457946
58,58,,389693.0,tt13340300
59,59,,274175.0,tt0211159
60,60,,,
61,61,,260436.0,tt3589312
62,62,,352440.0,tt10680614
63,63,,375994.0,tt12026652
64,64,,385432.0,tt10951438
65,65,19056.0,104271.0,tt0096597
66,66,,281345.0,tt10094402
67,67,,339854.0,
68,68,,,
69,69,,380686.0,
70,70,,380207.0,
71,71,,388680.0,tt13695606
72,72,,373360.0,
73,73,,395235.0,
74,74,,371744.0,tt10960302
75,75,,392410.0,tt13470370
76,76,,,
77,77,,338687.0,
78,78,,,
79,79,,410086.0,tt12428002
