,shows_id,time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,10:00,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2,2,23:45,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,3,10:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,4,10:00,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5,5,22:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,6,12:00,0.0,1.0,1.0,1.0,0.0,0.0,0.0
7,7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8,,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9,9,08:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,10,17:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,11,06:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,13,17:35,1.0,1.0,1.0,1.0,1.0,0.0,0.0
13,14,06:00,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,16,19:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,17,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,18,,1.0,1.0,1.0,1.0,0.0,0.0,0.0
17,19,,0.0,1.0,0.0,1.0,0.0,0.0,0.0
18,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,21,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,22,,1.0,1.0,1.0,1.0,1.0,0.0,0.0
21,25,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,26,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,29,00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,30,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,32,,0.0,1.0,1.0,1.0,0.0,0.0,0.0
27,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,35,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,36,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,37,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,38,,1.0,1.0,1.0,0.0,0.0,1.0,1.0
33,39,,1.0,1.0,1.0,1.0,0.0,0.0,0.0
34,40,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
35,41,20:00,1.0,1.0,1.0,0.0,0.0,0.0,0.0
36,42,20:00,0.0,1.0,1.0,0.0,0.0,0.0,0.0
37,43,20:00,0.0,1.0,1.0,0.0,0.0,0.0,0.0
38,44,,1.0,1.0,1.0,1.0,0.0,0.0,0.0
39,45,07:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,46,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,47,20:00,1.0,1.0,1.0,0.0,0.0,0.0,0.0
42,49,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,50,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,52,,1.0,1.0,1.0,1.0,0.0,0.0,1.0
45,54,,0.0,1.0,0.0,0.0,1.0,0.0,0.0
46,56,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47,57,,1.0,1.0,1.0,1.0,0.0,0.0,1.0
48,58,22:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,59,08:30,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,60,00:25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,61,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,62,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53,63,,1.0,1.0,1.0,1.0,1.0,0.0,0.0
54,64,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,65,20:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0
56,66,20:40,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,67,15:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0
58,68,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,69,11:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0
60,70,10:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0
61,71,10:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,72,12:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63,73,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
64,74,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
