,episode_ids,id,url,name,season,number,type,airdate,airtime,airstamp,runtime,rating,summary
0,0,1979824,https://www.tvmaze.com/episodes/1979824/sim-for-you-4x16-chanyeols-episode-16,Chanyeol's Episode 16,4.0,16.0,regular,2020-12-01,06:00,2020-11-30,16.0,,#ObtainedAConversationalSkill #WeSetUpATent♥ #ManySmiles
1,1,1979222,https://www.tvmaze.com/episodes/1979222/kotiki-1x02-seria-2,Серия 2,1.0,2.0,regular,2020-12-01,,2020-12-01,12.0,,
2,2,2008027,https://www.tvmaze.com/episodes/2008027/lab-s-antonom-belaevym-2x06-lolita,Лолита,2.0,6.0,regular,2020-12-01,,2020-12-01,29.0,,
3,3,1964565,https://www.tvmaze.com/episodes/1964565/core-sense-1x09-episode-9,Episode 9,1.0,9.0,regular,2020-12-01,10:00,2020-12-01,24.0,,
4,4,2052503,https://www.tvmaze.com/episodes/2052503/wu-shen-zhu-zai-1x80-episode-80,Episode 80,1.0,80.0,regular,2020-12-01,10:00,2020-12-01,8.0,,
5,5,2315116,https://www.tvmaze.com/episodes/2315116/sono-koi-mousukoshi-atatamemasuka-1x05-episode-5,Episode 5,1.0,5.0,regular,2020-12-01,,2020-12-01,15.0,,
6,6,1973538,https://www.tvmaze.com/episodes/1973538/please-wait-brother-1x17-episode-17,Episode 17,1.0,17.0,regular,2020-12-01,12:00,2020-12-01,37.0,,
7,7,1973539,https://www.tvmaze.com/episodes/1973539/please-wait-brother-1x18-episode-18,Episode 18,1.0,18.0,regular,2020-12-01,12:00,2020-12-01,37.0,,
8,8,1984264,https://www.tvmaze.com/episodes/1984264/fearless-whispers-1x51-episode-51,Episode 51,1.0,51.0,regular,2020-12-01,,2020-12-01,60.0,,
9,9,2082171,https://www.tvmaze.com/episodes/2082171/ling-jian-zun-4x28-di128ji,第128集,4.0,28.0,regular,2020-12-01,,2020-12-01,10.0,,
10,10,2161414,https://www.tvmaze.com/episodes/2161414/mafia-nights-1x03-bazy-swm-grwh-awl,بازی سوم گروه اول,1.0,3.0,regular,2020-12-01,08:00,2020-12-01,90.0,,
11,11,1981059,https://www.tvmaze.com/episodes/1981059/vmeste-intervu-3x03-142-ekaterina-varnava,142. Екатерина Варнава,3.0,3.0,regular,2020-12-01,17:00,2020-12-01,37.0,,
12,12,1939481,https://www.tvmaze.com/episodes/1939481/stjernestov-1x01-episode-1,Episode 1,1.0,1.0,regular,2020-12-01,06:00,2020-12-01,23.0,,
13,13,1969211,https://www.tvmaze.com/episodes/1969211/exit-nordpolen-1x01-seilasen,Seilasen,1.0,1.0,regular,2020-12-01,06:00,2020-12-01,30.0,,
14,14,1969212,https://www.tvmaze.com/episodes/1969212/exit-nordpolen-1x02-ekspedisjonen,Ekspedisjonen,1.0,2.0,regular,2020-12-01,06:00,2020-12-01,39.0,,
15,15,1969213,https://www.tvmaze.com/episodes/1969213/exit-nordpolen-1x03-exit,Exit,1.0,3.0,regular,2020-12-01,06:00,2020-12-01,39.0,,
16,16,2003089,https://www.tvmaze.com/episodes/2003089/slepaa-10x93-mamocki,Мамочки,10.0,93.0,regular,2020-12-01,17:35,2020-12-01,25.0,,
17,17,1973845,https://www.tvmaze.com/episodes/1973845/im-a-celebritythe-daily-drop-1x14-bobby-cole-norris-ruthie-henshall-brenda-edwards,"Bobby Cole Norris, Ruthie Henshall, Brenda Edwards",1.0,14.0,regular,2020-12-01,06:00,2020-12-01,30.0,,
18,18,2018189,https://www.tvmaze.com/episodes/2018189/sheker-1x05-gde-moj-staff-suka,"Где мой стафф, сука?!",1.0,5.0,regular,2020-12-01,,2020-12-01,20.0,,
19,19,1964331,https://www.tvmaze.com/episodes/1964331/saygi-1x06-6-bolum,6. Bölüm,1.0,6.0,regular,2020-12-01,,2020-12-01,60.0,,
20,20,2010122,https://www.tvmaze.com/episodes/2010122/konusanlar-1x28-28-bolum,28. Bölüm,1.0,28.0,regular,2020-12-01,,2020-12-01,50.0,,
21,21,1977518,https://www.tvmaze.com/episodes/1977518/alex-og-aune-1x02-brothers-in-bleik,Brothers in Bleik,1.0,2.0,regular,2020-12-01,,2020-12-01,15.0,,
22,22,1972035,https://www.tvmaze.com/episodes/1972035/blipp-vs-snolos-1x03-full-fart,Full fart,1.0,3.0,regular,2020-12-01,,2020-12-01,,,
23,23,1983909,https://www.tvmaze.com/episodes/1983909/honest-game-trailers-2020-12-01-demons-souls,Demon's Souls,,48.0,regular,2020-12-01,,2020-12-01,5.0,,
24,24,1978095,https://www.tvmaze.com/episodes/1978095/honest-trailers-2020-12-01-a-christmas-story,A Christmas Story,,49.0,regular,2020-12-01,,2020-12-01,5.0,,
25,25,1975170,https://www.tvmaze.com/episodes/1975170/the-young-turks-2020-12-01-december-1-2020,"December 1, 2020",,287.0,regular,2020-12-01,,2020-12-01,120.0,,
26,26,1978425,https://www.tvmaze.com/episodes/1978425/kurzgesagt-in-a-nutshell-2020-12-01-what-if-earth-got-kicked-out-of-the-solar-system-rogue-earth,What If Earth got Kicked Out of the Solar System? Rogue Earth,,18.0,regular,2020-12-01,,2020-12-01,6.0,,
27,27,2176118,https://www.tvmaze.com/episodes/2176118/scishow-2020-12-01-thats-not-a-spider-its-a-snake,That's Not A Spider: It's a SNAKE!,,328.0,regular,2020-12-01,,2020-12-01,,,
28,28,1978093,https://www.tvmaze.com/episodes/1978093/returning-the-favor-4x14-the-baltimore-son-creating-change,The Baltimore Son Creating Change,4.0,14.0,regular,2020-12-01,,2020-12-01,30.0,,"This Giving Tuesday, the crew heads to Mike's hometown of Baltimore, MD to give back to Dawod Thomas. Honoring the legacy of his dad, Dawod created My Fathers Plan, a youth-focused community cleanup program dedicated to cultivating change in the inner-city through community activism, tutoring and mentoring."
29,29,2003906,https://www.tvmaze.com/episodes/2003906/10-glupyh-voprosov-2020-12-01-cuma-vecerinka-istorik-mody,Чума Вечеринка. Историк моды,,31.0,regular,2020-12-01,,2020-12-01,31.0,,
30,30,1977529,https://www.tvmaze.com/episodes/1977529/good-mythical-morning-18x56-can-this-spray-help-us-read-each-others-minds-experiment,Can This Spray Help Us Read Each Other's Minds? (Experiment),18.0,56.0,regular,2020-12-01,,2020-12-01,,,
31,31,1983444,https://www.tvmaze.com/episodes/1983444/red-table-talk-3x22-red-table-transformations,Red Table Transformations,3.0,22.0,regular,2020-12-01,,2020-12-01,25.0,,
32,32,1956844,https://www.tvmaze.com/episodes/1956844/roditeli-4x20-seria-108,Серия 108,4.0,20.0,regular,2020-12-01,00:00,2020-12-01,25.0,,
33,33,1977811,https://www.tvmaze.com/episodes/1977811/obsolete-1x07-reshep,Reshep,1.0,7.0,regular,2020-12-01,,2020-12-01,13.0,,
34,34,1977812,https://www.tvmaze.com/episodes/1977812/obsolete-1x08-area-51,Area 51,1.0,8.0,regular,2020-12-01,,2020-12-01,13.0,,
35,35,1978869,https://www.tvmaze.com/episodes/1978869/obsolete-1x09-carhuincho,Carhuincho,1.0,9.0,regular,2020-12-01,,2020-12-01,13.0,,
36,36,1978870,https://www.tvmaze.com/episodes/1978870/obsolete-1x10-santa-muerte,Santa Muerte,1.0,10.0,regular,2020-12-01,,2020-12-01,13.0,,
37,37,1978871,https://www.tvmaze.com/episodes/1978871/obsolete-1x11-freyja,Freyja,1.0,11.0,regular,2020-12-01,,2020-12-01,13.0,,
38,38,1978872,https://www.tvmaze.com/episodes/1978872/obsolete-1x12-konoka-kokonoha,Konoka Kokonoha,1.0,12.0,regular,2020-12-01,,2020-12-01,13.0,,
39,39,1977806,https://www.tvmaze.com/episodes/1977806/comment-out-1x27-roman-kagramanov-h-stas-prosto-klass,Роман Каграманов х Стас Просто Класс,1.0,27.0,regular,2020-12-01,,2020-12-01,51.0,,
40,40,1978094,https://www.tvmaze.com/episodes/1978094/la-vida-moderna-7x50-demasiado-calentamiento,Demasiado calentamiento,7.0,50.0,regular,2020-12-01,,2020-12-01,38.0,,
41,41,1978228,https://www.tvmaze.com/episodes/1978228/inside-of-you-with-michael-rosenbaum-1x141-timothy-omundson-feat-selma-blair,Timothy Omundson (feat. Selma Blair),1.0,141.0,regular,2020-12-01,,2020-12-01,94.0,,Timothy Omundson (Psych) joins me this week and pours it all out about his heartbreaking experience with the freak accident stroke he suffered during the zenith of his career and the best shape of his life.
42,42,1960496,https://www.tvmaze.com/episodes/1960496/all-elite-wrestling-dark-2020-12-01-aew-dark-63,AEW Dark 63,,49.0,regular,2020-12-01,,2020-12-01,,,
43,43,1972603,https://www.tvmaze.com/episodes/1972603/marvels-storyboards-2x04-nelson-figueroa-his-baseball-origin-story,Nelson Figueroa & His Baseball Origin Story,2.0,4.0,regular,2020-12-01,,2020-12-01,14.0,,
44,44,1975078,https://www.tvmaze.com/episodes/1975078/uwn-primetime-2020-12-01-episode-12,Episode 12,,12.0,regular,2020-12-01,,2020-12-01,120.0,,
45,45,1969883,https://www.tvmaze.com/episodes/1969883/lyckoviken-1x08-avsnitt-8,Avsnitt 8,1.0,8.0,regular,2020-12-01,,2020-12-01,41.0,,
46,46,1990735,https://www.tvmaze.com/episodes/1990735/ela-ana-8x09-episode-9,Episode 9,8.0,9.0,regular,2020-12-01,,2020-12-01,40.0,,
47,47,1968546,https://www.tvmaze.com/episodes/1968546/something-just-like-this-1x43-episode-43,Episode 43,1.0,43.0,regular,2020-12-01,20:00,2020-12-01,45.0,,
48,48,1968547,https://www.tvmaze.com/episodes/1968547/something-just-like-this-1x44-episode-44,Episode 44,1.0,44.0,regular,2020-12-01,20:00,2020-12-01,45.0,,
49,49,2336906,https://www.tvmaze.com/episodes/2336906/oriental-casablanca-1x21-episode-21,Episode 21,1.0,21.0,regular,2020-12-01,,2020-12-01,45.0,,
50,50,1976026,https://www.tvmaze.com/episodes/1976026/twisted-fate-of-love-1x15-episode-15,Episode 15,1.0,15.0,regular,2020-12-01,20:00,2020-12-01,45.0,,
51,51,1976027,https://www.tvmaze.com/episodes/1976027/twisted-fate-of-love-1x16-episode-16,Episode 16,1.0,16.0,regular,2020-12-01,20:00,2020-12-01,45.0,,
52,52,1976134,https://www.tvmaze.com/episodes/1976134/insect-detective-1x21-episode-21,Episode 21,1.0,21.0,regular,2020-12-01,20:00,2020-12-01,45.0,,
53,53,1976135,https://www.tvmaze.com/episodes/1976135/insect-detective-1x22-episode-22,Episode 22,1.0,22.0,regular,2020-12-01,20:00,2020-12-01,45.0,,
54,54,1976152,https://www.tvmaze.com/episodes/1976152/new-face-1x11-episode-11,Episode 11,1.0,11.0,regular,2020-12-01,20:00,2020-12-01,45.0,,
55,55,1976153,https://www.tvmaze.com/episodes/1976153/new-face-1x12-episode-12,Episode 12,1.0,12.0,regular,2020-12-01,20:00,2020-12-01,45.0,,
56,56,1976183,https://www.tvmaze.com/episodes/1976183/psych-hunter-1x17-episode-17,Episode 17,1.0,17.0,regular,2020-12-01,20:00,2020-12-01,45.0,,
57,57,1976184,https://www.tvmaze.com/episodes/1976184/psych-hunter-1x18-episode-18,Episode 18,1.0,18.0,regular,2020-12-01,20:00,2020-12-01,45.0,,
58,58,1987939,https://www.tvmaze.com/episodes/1987939/maryland-farm-harvest-8x97-episode-4,Episode 4,8.0,97.0,regular,2020-12-01,07:00,2020-12-01,27.0,,"Genetically-engineered corn, corn silage, and sweet corn."
59,59,1977503,https://www.tvmaze.com/episodes/1977503/cheat-1x01-sex-and-magic,Sex and Magic,1.0,1.0,regular,2020-12-01,,2020-12-01,20.0,8.0,"Jen practices magical spells with Vee.  When Jen, Vee, Dong, and Jay fall asleep watching a movie, Vee has no choice but to sleep over at Jen's house.  "
60,60,1977630,https://www.tvmaze.com/episodes/1977630/to-love-1x19-episode-19,Episode 19,1.0,19.0,regular,2020-12-01,20:00,2020-12-01,45.0,,
61,61,1977631,https://www.tvmaze.com/episodes/1977631/to-love-1x20-episode-20,Episode 20,1.0,20.0,regular,2020-12-01,20:00,2020-12-01,45.0,,
62,62,1977809,https://www.tvmaze.com/episodes/1977809/the-holiday-movies-that-made-us-1x01-elf,Elf,1.0,1.0,regular,2020-12-01,,2020-12-01,45.0,7.5,"Despite its gifted cast and wonderland of effects, this endearing Christmas comedy is sold short by the studio — till it scores big with moviegoers."
63,63,1977810,https://www.tvmaze.com/episodes/1977810/the-holiday-movies-that-made-us-1x02-nightmare-before-christmas,Nightmare Before Christmas,1.0,2.0,regular,2020-12-01,,2020-12-01,44.0,,"The unlikely holiday classic, and stop-motion first, comes to ghoulish life with persistent vision — and nimble work by a ragtag bunch of misfits."
64,64,1978545,https://www.tvmaze.com/episodes/1978545/wayward-guide-1x08-in-sheeps-clothing,In Sheep's Clothing,1.0,8.0,regular,2020-12-01,,2020-12-01,9.0,,"Artemis follows her primary lead to confront the mastermind behind the werewolf attacks, only to realize that she has missed a major detail in the case."
65,65,1988299,https://www.tvmaze.com/episodes/1988299/nwa-shockwave-1x01-episode-1,Episode 1,1.0,1.0,regular,2020-12-01,,2020-12-01,45.0,,
66,66,2033284,https://www.tvmaze.com/episodes/2033284/33-rebenka-1x01-1-seria,1 серия,1.0,1.0,regular,2020-12-01,,2020-12-01,13.0,,
67,67,2033285,https://www.tvmaze.com/episodes/2033285/33-rebenka-1x02-2-seria,2 серия,1.0,2.0,regular,2020-12-01,,2020-12-01,12.0,,
68,68,2033286,https://www.tvmaze.com/episodes/2033286/33-rebenka-1x03-3-seria,3 серия,1.0,3.0,regular,2020-12-01,,2020-12-01,13.0,,
69,69,2033287,https://www.tvmaze.com/episodes/2033287/33-rebenka-1x04-4-seria,4 серия,1.0,4.0,regular,2020-12-01,,2020-12-01,12.0,,
70,70,2033288,https://www.tvmaze.com/episodes/2033288/33-rebenka-1x05-5-seria,5 серия,1.0,5.0,regular,2020-12-01,,2020-12-01,13.0,,
71,71,2033289,https://www.tvmaze.com/episodes/2033289/33-rebenka-1x06-6-seria,6 серия,1.0,6.0,regular,2020-12-01,,2020-12-01,14.0,,
72,72,2033290,https://www.tvmaze.com/episodes/2033290/33-rebenka-1x07-7-seria,7 серия,1.0,7.0,regular,2020-12-01,,2020-12-01,13.0,,
73,73,2033291,https://www.tvmaze.com/episodes/2033291/33-rebenka-1x08-8-seria,8 серия,1.0,8.0,regular,2020-12-01,,2020-12-01,15.0,,
74,74,2033292,https://www.tvmaze.com/episodes/2033292/33-rebenka-1x09-9-seria,9 серия,1.0,9.0,regular,2020-12-01,,2020-12-01,12.0,,
75,75,2033293,https://www.tvmaze.com/episodes/2033293/33-rebenka-1x10-10-seria,10 серия,1.0,10.0,regular,2020-12-01,,2020-12-01,12.0,,
76,76,2033294,https://www.tvmaze.com/episodes/2033294/33-rebenka-1x11-11-seria,11 серия,1.0,11.0,regular,2020-12-01,,2020-12-01,14.0,,
77,77,2033295,https://www.tvmaze.com/episodes/2033295/33-rebenka-1x12-12-seria,12 серия,1.0,12.0,regular,2020-12-01,,2020-12-01,13.0,,
