,shows_id,episode_ids,id,url,name,type,language,status,runtime,averageRuntime,premiered,ended,officialSite,rating,weight,summary,updated
0,350,680,802,https://www.tvmaze.com/shows/802/wwe-monday-night-raw,WWE Monday Night RAW,Sports,English,Running,180.0,181.0,1993-01-11,,http://www.wwe.com/,7.5,93,"WWE Monday Night RAW is World Wrestling Entertainment's (formerly the WWF and the WWWF before that) premiere wrestling event and brand. Since its launch in 1993, WWE Monday Night RAW continues to air live on Monday nights. It is generally seen as the company's flagship program due to its prolific history, high ratings, weekly live format, and emphasis on pay-per-views. Monday Night RAW is high profile enough to attract frequent visits from celebrities who usually serve as guest hosts for a single live event. Since its first episode, the show has been broadcast live or recorded from more than 197 different arenas in 165 cities and towns in seven different nations: including the United States, Canada, the United Kingdom twice a year, Afghanistan for a special Tribute to the Troops, Germany, Japan, Italy and Mexico.",2022-06-18
1,279,539,1596,https://www.tvmaze.com/shows/1596/ufc-fight-night,UFC Fight Night,Sports,English,Running,120.0,193.0,2005-08-06,,http://www.ufc.com/,7.7,97,"UFC Fight Night is a part of the Ultimate Fighting Championship (UFC) which is the largest mixed martial arts promotion company in the world featuring most of the top-ranked fighters in the sport. Based in the United States, the UFC produces events worldwide. The organization showcases nine weight divisions and abides by the Unified Rules of Mixed Martial Arts. The UFC has held over 300 events to date. Dana White serves as the president of the UFC while brothers Frank and Lorenzo Fertitta control the UFC's parent company, Zuffa, LLC. The first UFC event was held on November 12, 1993 at the McNichols Sports Arena in Denver, Colorado. The purpose of the early UFC competitions was to identify the most effective martial art in a real fight between competitors of different fighting disciplines, including boxing, Brazilian jiu-jitsu, Sambo, wrestling, Muay Thai, karate, judo, and other styles. In subsequent competitions, fighters began adopting effective techniques from more than one discipline, which indirectly helped create an entirely separate style of fighting known as present-day mixed martial arts.",2022-06-26
2,463,1535,1825,https://www.tvmaze.com/shows/1825/the-expanse,The Expanse,Scripted,English,Ended,,55.0,2015-12-14,2022-01-14,https://www.amazon.com/dp/B07YL9WK1S/,8.8,99,"A thriller set two hundred years in the future, The Expanse follows the case of a missing young woman who brings a hardened detective and a rogue ship's captain together in a race across the solar system to expose the greatest conspiracy in human history.",2022-04-17
3,110,175,2266,https://www.tvmaze.com/shows/2266/wwe-nxt,WWE NXT,Sports,English,Running,120.0,76.0,2010-02-23,,http://www.wwe.com/inside/networkschedule,7.2,91,"Each Wednesday at 8:00 p.m. ET, WWE Superstars and Divas of tomorrow face off on WWE NXT, a one-hour weekly show that features the brightest and best of WWE's rising stars. WWE NXT showcases the Superstars and Divas from WWE's Performance Center as well as appearances from WWE Superstars and Legends in an intimate setting. WWE NXT broadcasts from the state-of-the-art Full Sail LIVE venue on the Full Sail University in campus in Orlando, Florida.",2022-06-22
4,65,94,2504,https://www.tvmaze.com/shows/2504/goede-tijden-slechte-tijden,"Goede Tijden, Slechte Tijden",Scripted,Dutch,Running,23.0,25.0,1990-10-01,,http://gtst.nl/#!/,,80,,2022-06-25
5,516,1998,2855,https://www.tvmaze.com/shows/2855/wwe-ppv-on-wwe-network,WWE PPV on WWE Network,Sports,English,Running,180.0,193.0,1985-03-31,,http://www.wwe.com/events,8.0,81,"Beginning with the 2014 Extreme Rules Pay-Per-View on 4 May 2014 the WWE began airing all of their Wrestling Pay-Per-Views exclusively on the WWE Network. Subscribers who pay the $9.95 monthly fee will be able to view any Pay-Per-Views past, present and in the future exclusively on the WWE Network at no additional charge as long as their monthly fees are paid up-to-date.",2022-06-18
6,427,1227,3734,https://www.tvmaze.com/shows/3734/the-streamy-awards,The Streamy Awards,Award Show,English,Running,90.0,108.0,2009-03-28,,http://www.streamys.org,,42,"The Streamy Awards honor the best in online video and the creators behind it. The annual event brings together the biggest names in YouTube and online video for a night of celebration, discovery, and meaningful recognition.",2021-03-08
7,270,530,4091,https://www.tvmaze.com/shows/4091/rwby,RWBY,Animation,English,Running,15.0,13.0,2013-07-18,,https://roosterteeth.com/series/rwby,8.1,94,"The future-fantasy world of Remnant is filled with ravenous monsters, treacherous terrain, and more villains than you can shake a sniper-scythe at. Fortunately, Beacon Academy is training Huntsman and Huntresses to battle the evils of the world, and Ruby, Weiss, Blake, and Yang are ready for their first day of class.",2022-06-06
8,318,608,6090,https://www.tvmaze.com/shows/6090/red-vs-blue,Red vs. Blue,Animation,English,Running,10.0,10.0,2003-04-01,,https://roosterteeth.com/series/red-vs-blue,,71,"Red vs. Blue centers on the Red and Blue Teams, two groups of soldiers engaged in a civil war. Each team occupies a small base in a box canyon known as Blood Gulch. According to Simmons (Gustavo Sorola), one of the Red Team soldiers, each team's base exists only in response to the other team's base. Although both teams generally dislike each other and have standing orders to defeat their opponents and capture their flag, neither team's soldiers are usually motivated to fight each other- if they are otherwise, neither are efficient. Teammates have an array of eccentric personalities and often create more problems for each other than for their enemies.",2022-01-12
9,257,512,6097,https://www.tvmaze.com/shows/6097/epic-rap-battles-of-history,Epic Rap Battles of History,Scripted,English,Running,3.0,3.0,2010-09-26,,http://www.epicrapbattlesofhistory.com/,,43,"Epic Rap Battles of History, officially shortened to ERB or ERBoH, is a YouTube video series created by Peter Shukoff (a.k.a. Nice Peter) and Lloyd Ahlquist (a.k.a. EpicLLOYD). The series pits famous historical and pop culture figures, either fictional or otherwise, against one another in a rap battle format.",2022-01-29
10,138,222,6141,https://www.tvmaze.com/shows/6141/simons-cat,Simon's Cat,Animation,English,Running,2.0,2.0,2008-03-04,,http://simonscat.com,7.3,45,Simon's Cat is an animated series featuring the mischievous and often hilarious antics of a fat white cat and his owner Simon.,2022-06-02
11,341,669,6146,https://www.tvmaze.com/shows/6146/rooster-teeth-podcast,Rooster Teeth Podcast,Talk Show,English,Running,90.0,90.0,2008-12-09,,https://roosterteeth.com/series/rt-podcast,,33,"On a more or less weekly basis the Rooster Teeth (creators of Red vs. Blue) crew discuss gaming, films and projects that they are currently working on.",2022-06-25
12,342,670,6147,https://www.tvmaze.com/shows/6147/rooster-teeth-animated-adventures,Rooster Teeth Animated Adventures,Animation,English,Running,2.0,2.0,2011-09-28,,https://roosterteeth.com/series/rt-animated-adventures,,33,The stories from the popular Rooster Teeth Podcast now in animated form!,2022-06-22
13,59,88,6441,https://www.tvmaze.com/shows/6441/nfl-films-presents,NFL Films Presents,Sports,English,Running,30.0,30.0,1999-08-23,,http://www.nfl.com/videos/nfl-films-presents,,37,"NFL Films Presents is devoted to producing commercials, television programs, feature films, and documentaries on the National Football League, as well as other unrelated major events and awards shows. It is currently owned by the NFL and produces most of its videotaped content except its live game coverage, which is handled separately by the individual networks.""",2022-04-27
14,161,274,6544,https://www.tvmaze.com/shows/6544/sesame-street,Sesame Street,Scripted,English,Running,30.0,57.0,1969-11-10,,https://www.hbomax.com/series/urn:hbo:series:GXouLWwp8MsPDIgEAAAqT,8.2,87,"Sesame Street is a widely recognized and perpetually daring experiment in educational children's programming. This show has taken popular-culture and turned it upside-down. The fast-paced advertisements that had parents of the new era worrying for their children were the basis for the original format of this show. The show has often satirized pop culture, and made itself easier for parents to watch along too. And thus, the positive impact this show has had on modern society is beyond another. No show is more recognized the world over by as many generations and walks of life. Shown in its original format or with changes to reflect a regional education focus, Sesame Street is now seen in over 140 countries. The show that Entertainment Weekly named the ""20th Best Ever Show"" has changed the education scene to focus on ""entertainment"". This has turned out to be a valuable theory that not only...",2022-02-28
15,521,2023,7241,https://www.tvmaze.com/shows/7241/roadkill,Roadkill,Reality,English,Running,30.0,30.0,2012-02-17,,http://www.roadkill.com,7.3,86,"Ride along with HOT ROD's David Freiburger and Mike Finnegan as they continue their love/hate relationship with hot rods, street machines and other highly strung performance vehicles. In Roadkill, Freiburger and Finnegan hit the road in everything from a 1968 Ford Ranchero to a 1500 horsepower Camaro called the F-Bomb. Just getting to their destination is an adventure.",2022-06-01
16,139,223,7480,https://www.tvmaze.com/shows/7480/star-trek-discovery,Star Trek: Discovery,Scripted,English,Running,,56.0,2017-09-24,,https://www.paramountplus.com/shows/star-trek-discovery/,7.6,100,"Star Trek, one of the most iconic and influential global television franchises, returns 50 years after it first premiered, with Star Trek: Discovery. The series will feature a new ship, new characters and new missions, while embracing the same ideology and hope for the future that inspired a generation of dreamers and doers.",2022-05-12
17,198,351,7564,https://www.tvmaze.com/shows/7564/masana,Масяня,Animation,Russian,Running,,5.0,2002-01-01,,https://mult.ru/,,68,,2022-05-24
18,308,587,7591,https://www.tvmaze.com/shows/7591/wwe-24,WWE 24,Documentary,English,Running,60.0,57.0,2015-01-26,,http://network.wwe.com/shows/original/wwe-24,,75,WWE 24 takes you behind the scenes of some of the biggest WWE Pay Per Views in WWE history.,2022-03-24
