,channel_id,name,officialSite,country.name,country.code,country.timezone,country,shows_id
0,122.0,V LIVE,https://www.vlive.tv/home,"Korea, Republic of",KR,Asia/Seoul,,0
1,122.0,V LIVE,https://www.vlive.tv/home,"Korea, Republic of",KR,Asia/Seoul,,316
2,510.0,Epic Media,,Russian Federation,RU,Asia/Kamchatka,,1
3,381.0,КиноПоиск HD,,Russian Federation,RU,Asia/Kamchatka,,2
4,381.0,КиноПоиск HD,,Russian Federation,RU,Asia/Kamchatka,,474
5,381.0,КиноПоиск HD,,Russian Federation,RU,Asia/Kamchatka,,574
6,381.0,КиноПоиск HD,,Russian Federation,RU,Asia/Kamchatka,,612
7,51.0,Bilibili,,China,CN,Asia/Shanghai,,3
8,51.0,Bilibili,,China,CN,Asia/Shanghai,,72
9,51.0,Bilibili,,China,CN,Asia/Shanghai,,96
10,51.0,Bilibili,,China,CN,Asia/Shanghai,,117
11,51.0,Bilibili,,China,CN,Asia/Shanghai,,216
12,51.0,Bilibili,,China,CN,Asia/Shanghai,,251
13,51.0,Bilibili,,China,CN,Asia/Shanghai,,284
14,51.0,Bilibili,,China,CN,Asia/Shanghai,,317
15,51.0,Bilibili,,China,CN,Asia/Shanghai,,397
16,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,4
17,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,6
18,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,8
19,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,41
20,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,43
21,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,70
22,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,71
23,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,98
24,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,103
25,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,118
26,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,121
27,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,122
28,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,152
29,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,179
30,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,180
31,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,250
32,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,281
33,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,282
34,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,358
35,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,449
36,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,518
37,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,529
38,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,552
39,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,599
40,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,600
41,104.0,Tencent QQ,https://v.qq.com/,China,CN,Asia/Shanghai,,613
42,342.0,Paravi,,Japan,JP,Asia/Tokyo,,5
43,342.0,Paravi,,Japan,JP,Asia/Tokyo,,269
44,,,,,,,,7
45,,,,,,,,58
46,,,,,,,,64
47,,,,,,,,65
48,,,,,,,,66
49,,,,,,,,79
50,,,,,,,,187
51,,,,,,,,245
52,,,,,,,,246
53,,,,,,,,274
54,,,,,,,,287
55,,,,,,,,310
56,,,,,,,,371
57,,,,,,,,373
58,,,,,,,,428
59,,,,,,,,462
60,,,,,,,,526
61,,,,,,,,590
62,507.0,filimo,,"Iran, Islamic Republic of",IR,Asia/Tehran,,9
63,208.0,VK.com,,Russian Federation,RU,Asia/Kamchatka,,10
64,208.0,VK.com,,Russian Federation,RU,Asia/Kamchatka,,128
65,238.0,NRK TV,,Norway,NO,Europe/Oslo,,11
66,238.0,NRK TV,,Norway,NO,Europe/Oslo,,12
67,238.0,NRK TV,,Norway,NO,Europe/Oslo,,74
68,238.0,NRK TV,,Norway,NO,Europe/Oslo,,80
69,238.0,NRK TV,,Norway,NO,Europe/Oslo,,124
70,238.0,NRK TV,,Norway,NO,Europe/Oslo,,136
71,238.0,NRK TV,,Norway,NO,Europe/Oslo,,181
72,238.0,NRK TV,,Norway,NO,Europe/Oslo,,182
73,238.0,NRK TV,,Norway,NO,Europe/Oslo,,197
74,238.0,NRK TV,,Norway,NO,Europe/Oslo,,239
75,238.0,NRK TV,,Norway,NO,Europe/Oslo,,252
76,238.0,NRK TV,,Norway,NO,Europe/Oslo,,255
77,238.0,NRK TV,,Norway,NO,Europe/Oslo,,275
78,238.0,NRK TV,,Norway,NO,Europe/Oslo,,276
79,238.0,NRK TV,,Norway,NO,Europe/Oslo,,285
80,238.0,NRK TV,,Norway,NO,Europe/Oslo,,313
81,238.0,NRK TV,,Norway,NO,Europe/Oslo,,361
82,238.0,NRK TV,,Norway,NO,Europe/Oslo,,431
83,238.0,NRK TV,,Norway,NO,Europe/Oslo,,490
84,238.0,NRK TV,,Norway,NO,Europe/Oslo,,493
85,238.0,NRK TV,,Norway,NO,Europe/Oslo,,512
86,238.0,NRK TV,,Norway,NO,Europe/Oslo,,513
87,238.0,NRK TV,,Norway,NO,Europe/Oslo,,542
88,238.0,NRK TV,,Norway,NO,Europe/Oslo,,560
89,238.0,NRK TV,,Norway,NO,Europe/Oslo,,562
90,99.0,Rutube,,Russian Federation,RU,Asia/Kamchatka,,13
91,54.0,ITV Hub,,United Kingdom,GB,Europe/London,,14
92,54.0,ITV Hub,,United Kingdom,GB,Europe/London,,580
93,452.0,Aitube.kz,,Kazakhstan,KZ,Asia/Qyzylorda,,15
94,452.0,Aitube.kz,,Kazakhstan,KZ,Asia/Qyzylorda,,76
95,452.0,Aitube.kz,,Kazakhstan,KZ,Asia/Qyzylorda,,125
96,452.0,Aitube.kz,,Kazakhstan,KZ,Asia/Qyzylorda,,253
97,222.0,BluTV,,Turkey,TR,Europe/Istanbul,,16
98,222.0,BluTV,,Turkey,TR,Europe/Istanbul,,185
99,222.0,BluTV,,Turkey,TR,Europe/Istanbul,,378
100,222.0,BluTV,,Turkey,TR,Europe/Istanbul,,442
101,222.0,BluTV,,Turkey,TR,Europe/Istanbul,,614
102,439.0,Exxen,,Turkey,TR,Europe/Istanbul,,17
103,327.0,TV 2 Play,,Norway,NO,Europe/Oslo,,18
104,327.0,TV 2 Play,,Norway,NO,Europe/Oslo,,19
105,327.0,TV 2 Play,,Norway,NO,Europe/Oslo,,81
106,327.0,TV 2 Play,,Norway,NO,Europe/Oslo,,133
107,327.0,TV 2 Play,,Norway,NO,Europe/Oslo,,256
108,327.0,TV 2 Play,,Norway,NO,Europe/Oslo,,288
109,327.0,TV 2 Play,,Norway,NO,Europe/Oslo,,292
110,327.0,TV 2 Play,,Norway,NO,Europe/Oslo,,362
111,327.0,TV 2 Play,,Norway,NO,Europe/Oslo,,433
112,21.0,YouTube,https://www.youtube.com,,,,,20
113,21.0,YouTube,https://www.youtube.com,,,,,21
114,21.0,YouTube,https://www.youtube.com,,,,,22
115,21.0,YouTube,https://www.youtube.com,,,,,23
116,21.0,YouTube,https://www.youtube.com,,,,,24
117,21.0,YouTube,https://www.youtube.com,,,,,26
118,21.0,YouTube,https://www.youtube.com,,,,,27
119,21.0,YouTube,https://www.youtube.com,,,,,31
120,21.0,YouTube,https://www.youtube.com,,,,,32
121,21.0,YouTube,https://www.youtube.com,,,,,33
122,21.0,YouTube,https://www.youtube.com,,,,,34
123,21.0,YouTube,https://www.youtube.com,,,,,35
124,21.0,YouTube,https://www.youtube.com,,,,,46
125,21.0,YouTube,https://www.youtube.com,,,,,49
126,21.0,YouTube,https://www.youtube.com,,,,,50
127,21.0,YouTube,https://www.youtube.com,,,,,51
128,21.0,YouTube,https://www.youtube.com,,,,,53
129,21.0,YouTube,https://www.youtube.com,,,,,54
130,21.0,YouTube,https://www.youtube.com,,,,,56
131,21.0,YouTube,https://www.youtube.com,,,,,68
132,21.0,YouTube,https://www.youtube.com,,,,,84
133,21.0,YouTube,https://www.youtube.com,,,,,85
134,21.0,YouTube,https://www.youtube.com,,,,,86
135,21.0,YouTube,https://www.youtube.com,,,,,87
136,21.0,YouTube,https://www.youtube.com,,,,,88
137,21.0,YouTube,https://www.youtube.com,,,,,90
138,21.0,YouTube,https://www.youtube.com,,,,,91
139,21.0,YouTube,https://www.youtube.com,,,,,92
140,21.0,YouTube,https://www.youtube.com,,,,,95
141,21.0,YouTube,https://www.youtube.com,,,,,99
142,21.0,YouTube,https://www.youtube.com,,,,,100
143,21.0,YouTube,https://www.youtube.com,,,,,101
144,21.0,YouTube,https://www.youtube.com,,,,,102
145,21.0,YouTube,https://www.youtube.com,,,,,107
146,21.0,YouTube,https://www.youtube.com,,,,,126
147,21.0,YouTube,https://www.youtube.com,,,,,130
148,21.0,YouTube,https://www.youtube.com,,,,,138
149,21.0,YouTube,https://www.youtube.com,,,,,141
150,21.0,YouTube,https://www.youtube.com,,,,,142
