,shows_id,episode_id,previousepisode_id,nextepisode_id
0,0,41648,1988862,
1,1,52198,1986873,
2,2,52933,2245512,
3,3,51336,1964569,
4,4,54033,2309421,2309422
5,5,61674,2315117,
6,6,52038,1973545,
7,7,52373,1984264,
8,8,55016,2336746,2336747
9,9,57339,2299084,2299085
10,10,47027,2338383,
11,11,50752,1977332,
12,12,51893,1969213,
13,13,26268,2295727,
14,14,51436,1973849,
15,15,53198,2199578,
16,16,51111,2211095,
17,17,52984,2309940,
18,18,49864,2236999,
19,19,51896,1977372,
20,20,13381,2351077,
21,21,13392,2339098,2339099
22,22,15250,2301276,
23,23,21491,2342473,
24,24,30606,2275469,
25,25,32980,1995781,
26,26,40482,2333856,
27,27,41611,2341783,
28,28,42121,2352631,
29,29,43261,1956844,
30,30,45389,1978872,
31,31,45400,2236880,
32,32,47267,2338065,
33,33,47944,2350734,
34,34,48302,2340554,2340555
35,35,49626,1972605,
36,36,50433,1988461,
37,37,50741,2349620,2349621
38,38,51119,2248904,
39,39,51870,1968550,
40,40,52073,2336909,
41,41,52104,1976054,
42,42,52106,1976137,
43,43,52107,1976166,
44,44,52108,1976202,
45,45,52113,2045839,
46,46,52150,1977508,
47,47,52159,1977651,
48,48,52164,1977810,
49,49,52191,2175110,
50,50,52534,1988303,
51,51,53282,2033295,
52,52,53338,2277420,
53,53,53612,2331417,
54,54,54112,2047633,
55,55,55364,2093132,
56,56,58593,2233334,
57,57,61755,2318192,
58,58,60785,2287788,
59,59,6441,2261966,
60,60,61530,2311020,
61,61,17633,2335726,
62,62,38339,1968004,
63,63,45812,2215367,
64,64,50661,2207417,
65,65,2504,2331558,2331559
66,66,50106,1976934,
67,67,32087,2270191,
68,68,49630,2347319,
69,69,47207,1971570,
70,70,48395,2280228,
71,71,49652,2309870,
72,72,45713,2030020,
73,73,54637,2066376,
74,74,55919,2337801,2337802
75,75,58689,2205983,
76,76,53197,2018182,
77,77,33691,1979373,
78,78,24963,2339480,2353242
79,79,57689,2174900,
80,80,57030,2170127,
81,81,57953,2182093,
82,82,27055,2052027,
83,83,28346,2348782,
84,84,33944,2245655,
85,85,34060,2041163,
86,86,40511,1990477,
87,87,44944,2242695,
88,88,46139,2008207,
89,89,46409,1975246,
90,90,47897,2339040,
91,91,49147,2353058,
92,92,49353,2178407,
93,93,50159,1982927,
94,94,51324,2001104,
95,95,51477,2160905,
96,96,51749,2121327,
97,97,51927,1978291,
98,98,52421,1985496,
99,99,56064,2313035,
100,100,56746,2352532,
101,101,57478,2306010,
102,102,59555,2239646,
103,103,52780,1998538,
104,104,36813,2302125,
105,105,44660,2334662,2334663
106,106,52250,2030085,
107,107,44675,2245693,
108,108,56531,2336194,2336195
109,109,51888,1979362,
110,110,2266,2326704,2326705
111,111,45434,1976924,
